"gene_name"	"description"	"transcript_name"	"refseq_protein"
"TAS2R10"	"taste receptor type 2 member 10"	"NM_023921"	"NP_076410"
"CLEC4M"	"C-type lectin domain family 4 member M isoform 8"	"NM_001144910"	"NP_001138382"
"CLEC10A"	"C-type lectin domain family 10 member A isoform 1"	"NM_182906"	"NP_878910"
"CST7"	"cystatin-F precursor"	"NM_003650"	"NP_003641"
"CLEC18B"	"C-type lectin domain family 18 member B precursor"	"NM_001011880"	"NP_001011880"
"CLEC2D"	"C-type lectin domain family 2 member D isoform 1"	"NM_013269"	"NP_037401"
"CLEC3B"	"tetranectin isoform 2"	"NM_001308394"	"NP_001295323"
"CLEC12A"	"C-type lectin domain family 12 member A isoform 1"	"NM_138337"	"NP_612210"
"ERVV-1"	"endogenous retrovirus group V member 1 Env polyprotein precursor"	"NM_152473"	"NP_689686"
"CLEC11A"	"C-type lectin domain family 11 member A precursor"	"NM_002975"	"NP_002966"
"TAS2R13"	"taste receptor type 2 member 13"	"NM_023920"	"NP_076409"
"ITGB6"	"integrin beta-6 isoform b precursor"	"NM_001282354"	"NP_001269283"
"ASIC1"	"acid-sensing ion channel 1 isoform b"	"NM_001095"	"NP_001086"
"ASIC3"	"acid-sensing ion channel 3 isoform b"	"NM_020321"	"NP_064717"
"APOL3"	"apolipoprotein L3 isoform 3"	"NM_145642"	"NP_663617"
"CLEC4M"	"C-type lectin domain family 4 member M isoform 10"	"NM_001144908"	"NP_001138380"
"CST8"	"cystatin-8 precursor"	"NM_005492"	"NP_005483"
"TAS2R41"	"taste receptor type 2 member 41"	"NM_176883"	"NP_795364"
"CLEC4E"	"C-type lectin domain family 4 member E"	"NM_014358"	"NP_055173"
"TAS2R43"	"taste receptor type 2 member 43"	"NM_176884"	"NP_795365"
"SDCBP2"	"syntenin-2 isoform a"	"NM_001199784"	"NP_001186713"
"ITGAV"	"integrin alpha-V isoform 3 precursor"	"NM_001145000"	"NP_001138472"
"ASIC4"	"acid-sensing ion channel 4 isoform 2"	"NM_182847"	"NP_878267"
"TAS2R5"	"taste receptor type 2 member 5"	"NM_018980"	"NP_061853"
"SCARB1"	"scavenger receptor class B member 1 isoform 2"	"NM_001082959"	"NP_001076428"
"CLEC14A"	"C-type lectin domain family 14 member A precursor"	"NM_175060"	"NP_778230"
"CLEC6A"	"C-type lectin domain family 6 member A isoform 1"	"NM_001007033"	"NP_001007034"
"PLAGL1"	"zinc finger protein PLAGL1 isoform 2"	"NM_001289044"	"NP_001275973"
"ERVFRD-1"	"syncytin-2 preproprotein"	"NM_207582"	"NP_997465"
"CLEC4M"	"C-type lectin domain family 4 member M isoform 9"	"NM_001144909"	"NP_001138381"
"CLECL1"	"C-type lectin-like domain family 1 isoform 3"	"NM_001253750"	"NP_001240679"
"TAS2R60"	"taste receptor type 2 member 60"	"NM_177437"	"NP_803186"
"SCARF1"	"scavenger receptor class F member 1 isoform 1 precursor"	"NM_003693"	"NP_003684"
"ZNF593"	"zinc finger protein 593"	"NM_015871"	"NP_056955"
"ITGA10"	"integrin alpha-10 isoform 3 precursor"	"NM_001303041"	"NP_001289970"
"ITGB8"	"integrin beta-8 precursor"	"NM_002214"	"NP_002205"
"SDCBP2"	"syntenin-2 isoform b"	"NM_015685"	"NP_056500"
"CLEC9A"	"C-type lectin domain family 9 member A"	"NM_207345"	"NP_997228"
"CLEC4A"	"C-type lectin domain family 4 member A isoform 4"	"NM_194448"	"NP_919430"
"TAS1R1"	"taste receptor type 1 member 1 isoform c precursor"	"NM_177540"	"NP_803884"
"CLEC4C"	"C-type lectin domain family 4 member C isoform 2"	"NM_203503"	"NP_987099"
"ITGA6"	"integrin alpha-6 isoform c"	"NM_001316306"	"NP_001303235"
"PLAGL1"	"zinc finger protein PLAGL1 isoform 1"	"NM_001289040"	"NP_001275969"
"CLEC3B"	"tetranectin isoform 1precursor"	"NM_003278"	"NP_003269"
"NAPB"	"beta-soluble NSF attachment protein isoform d"	"NM_001283026"	"NP_001269955"
"PLAGL1"	"zinc finger protein PLAGL1 isoform 1"	"NM_001289038"	"NP_001275967"
"PLAGL1"	"zinc finger protein PLAGL1 isoform 1"	"NM_001289037"	"NP_001275966"
"PLAGL1"	"zinc finger protein PLAGL1 isoform 2"	"NM_001289048"	"NP_001275977"
"CLEC4A"	"C-type lectin domain family 4 member A isoform 3"	"NM_194447"	"NP_919429"
"ITGBL1"	"integrin beta-like protein 1 isoform 2 precursor"	"NM_001271755"	"NP_001258684"
"ITGA9"	"integrin alpha-9 precursor"	"NM_002207"	"NP_002198"
"TAS2R9"	"taste receptor type 2 member 9"	"NM_023917"	"NP_076406"
"APOL3"	"apolipoprotein L3 isoform 1"	"NM_145640"	"NP_663615"
"TAS2R1"	"taste receptor type 2 member 1"	"NM_019599"	"NP_062545"
"SCARF2"	"scavenger receptor class F member 2 isoform 2 precursor"	"NM_182895"	"NP_878315"
"DOCK1"	"dedicator of cytokinesis protein 1 isoform 2"	"NM_001380"	"NP_001371"
"NDUFAF3"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 isoform b"	"NM_199070"	"NP_951033"
"APOL4"	"apolipoprotein L4 isoform 2 precursor"	"NM_145660"	"NP_663693"
"TAS2R46"	"taste receptor type 2 member 46"	"NM_176887"	"NP_795368"
"TAS2R4"	"taste receptor type 2 member 4"	"NM_016944"	"NP_058640"
"TAS2R14"	"taste receptor type 2 member 14"	"NM_023922"	"NP_076411"
"CLEC4M"	"C-type lectin domain family 4 member M isoform 2"	"NM_001144904"	"NP_001138376"
"ASIC3"	"acid-sensing ion channel 3 isoform c"	"NM_020322"	"NP_064718"
"TAS2R40"	"taste receptor type 2 member 40"	"NM_176882"	"NP_795363"
"CLECL1"	"C-type lectin-like domain family 1 isoform 1"	"NM_172004"	"NP_742001"
"NDUFAF7"	"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 isoform 1"	"NM_144736"	"NP_653337"
"APOL2"	"apolipoprotein L2"	"NM_145637"	"NP_663612"
"TAS2R30"	"taste receptor type 2 member 30"	"NM_001097643"	"NP_001091112"
"ITGBL1"	"integrin beta-like protein 1 isoform 1 precursor"	"NM_004791"	"NP_004782"
"CLEC2D"	"C-type lectin domain family 2 member D isoform 3"	"NM_001197317"	"NP_001184246"
"SCARA3"	"scavenger receptor class A member 3 isoform 1"	"NM_016240"	"NP_057324"
"TAS2R8"	"taste receptor type 2 member 8"	"NM_023918"	"NP_076407"
"CLEC4G"	"C-type lectin domain family 4 member G isoform 2"	"NM_001244856"	"NP_001231785"
"ERVMER34-1"	"endogenous retrovirus group MER34 member 1 Env polyprotein precursor"	"NM_024534"	"NP_078810"
"CLEC2D"	"C-type lectin domain family 2 member D isoform 5"	"NM_001197319"	"NP_001184248"
"CLEC18A"	"C-type lectin domain family 18 member A precursor"	"NM_001271197"	"NP_001258126"
"CLEC4A"	"C-type lectin domain family 4 member A isoform 1"	"NM_016184"	"NP_057268"
"ASIC3"	"acid-sensing ion channel 3 isoform a"	"NM_004769"	"NP_004760"
"ITGA7"	"integrin alpha-7 isoform 2 precursor"	"NM_002206"	"NP_002197"
"PLAGL1"	"zinc finger protein PLAGL1 isoform 2"	"NM_001289045"	"NP_001275974"
"ITGBL1"	"integrin beta-like protein 1 isoform 4"	"NM_001271754"	"NP_001258683"
"CLEC18A"	"C-type lectin domain family 18 member A precursor"	"NM_001136214"	"NP_001129686"
"CLEC2D"	"C-type lectin domain family 2 member D isoform 4"	"NM_001197318"	"NP_001184247"
"ITGB6"	"integrin beta-6 isoform a precursor"	"NM_000888"	"NP_000879"
"IL17B"	"interleukin-17B isoform 1 precursor"	"NM_014443"	"NP_055258"
"NAPA"	""	"NR_038456"	""
"CLEC4M"	""	"NR_026708"	""
"ASIC3"	""	"NR_046401"	""
"SCARF1"	""	"NR_102409"	""
"NDUFAF1"	""	"NR_045620"	""
"CLEC2D"	""	"NR_036693"	""
"NAPB"	""	"NR_104266"	""
"CAST"	""	"NR_104285"	""
"ITGB7"	""	"NR_104181"	""
"NDUFAF5"	""	"NR_029377"	""
"ASIC1"	""	"NR_046389"	""
"CLEC4M"	""	"NR_026707"	""
"SCARF1"	""	"NR_028075"	""
"NDUFAF4P1"	""	"NR_036507"	""
"LOC100132781"	""	"NR_038890"	""
"DNAJC9-AS1"	""	"NR_038373"	""
"LOC105378470"	""	"NR_134330"	""
"LOC390705"	""	"NR_033866"	""
"ERVK13-1"	""	"NR_040023"	""
"CLEC4GP1"	""	"NR_002931"	""
"TUBB6"	"tubulin beta-6 chain isoform 4"	"NM_001303527"	"NP_001290456"
"AP1B1"	"AP-1 complex subunit beta-1 isoform c"	"NM_001166019"	"NP_001159491"
"TUBB1"	"tubulin beta-1 chain"	"NM_030773"	"NP_110400"
"ARL11"	"ADP-ribosylation factor-like protein 11"	"NM_138450"	"NP_612459"
"AP1G2"	"AP-1 complex subunit gamma-like 2 isoform 3"	"NM_001282475"	"NP_001269404"
"TUBGCP4"	"gamma-tubulin complex component 4 isoform b"	"NM_014444"	"NP_055259"
"AP1M2"	"AP-1 complex subunit mu-2 isoform 2"	"NM_005498"	"NP_005489"
"TUBB6"	"tubulin beta-6 chain isoform 2"	"NM_001303525"	"NP_001290454"
"ARL15"	"ADP-ribosylation factor-like protein 15"	"NM_019087"	"NP_061960"
"COMMD7"	"COMM domain-containing protein 7 isoform 1"	"NM_053041"	"NP_444269"
"TUBD1"	"tubulin delta chain isoform 5"	"NM_001193612"	"NP_001180541"
"COMMD3"	"COMM domain-containing protein 3"	"NM_012071"	"NP_036203"
"AAAS"	"aladin isoform 1"	"NM_015665"	"NP_056480"
"TUBD1"	"tubulin delta chain isoform 2"	"NM_001193609"	"NP_001180538"
"TUBB6"	"tubulin beta-6 chain isoform 1"	"NM_001303524"	"NP_001290453"
"TUBD1"	"tubulin delta chain isoform 1"	"NM_016261"	"NP_057345"
"TUBB2A"	"tubulin beta-2A chain isoform 1"	"NM_001069"	"NP_001060"
"AP1B1"	"AP-1 complex subunit beta-1 isoform b"	"NM_145730"	"NP_663782"
"TUBB3"	"tubulin beta-3 chain isoform 1"	"NM_006086"	"NP_006077"
"TUBGCP2"	"gamma-tubulin complex component 2 isoform 3"	"NM_001256618"	"NP_001243547"
"ARL9"	"ADP-ribosylation factor-like protein 9"	"NM_206919"	"NP_996802"
"TUBB4B"	"tubulin beta-4B chain"	"NM_006088"	"NP_006079"
"ANKFN1"	"ankyrin repeat and fibronectin type-III domain-containing protein 1"	"NM_153228"	"NP_694960"
"ARL14"	"ADP-ribosylation factor-like protein 14"	"NM_025047"	"NP_079323"
"ITGA7"	"integrin alpha-7 isoform 1 precursor"	"NM_001144996"	"NP_001138468"
"SGCG"	"gamma-sarcoglycan"	"NM_000231"	"NP_000222"
"TUBGCP2"	"gamma-tubulin complex component 2 isoform 1"	"NM_001256617"	"NP_001243546"
"AP1S3"	"AP-1 complex subunit sigma-3"	"NM_001039569"	"NP_001034658"
"AP1S1"	"AP-1 complex subunit sigma-1A"	"NM_001283"	"NP_001274"
"TUBD1"	"tubulin delta chain isoform 4"	"NM_001193611"	"NP_001180540"
"TUBB6"	"tubulin beta-6 chain isoform 1"	"NM_032525"	"NP_115914"
"ARL14EP"	"ARL14 effector protein"	"NM_152316"	"NP_689529"
"CCKBR"	"gastrin/cholecystokinin type B receptor isoform 1"	"NM_176875"	"NP_795344"
"TUBB4A"	"tubulin beta-4A chain isoform 4"	"NM_001289131"	"NP_001276060"
"COMMD10"	"COMM domain-containing protein 10 isoform b"	"NM_001308080"	"NP_001295009"
"TUBGCP3"	"gamma-tubulin complex component 3 isoform 1"	"NM_006322"	"NP_006313"
"TUBB6"	"tubulin beta-6 chain isoform 6"	"NM_001303529"	"NP_001290458"
"TUBGCP5"	"gamma-tubulin complex component 5 isoform a"	"NM_052903"	"NP_443135"
"TUBB4A"	"tubulin beta-4A chain isoform 4"	"NM_001289130"	"NP_001276059"
"PARP11"	"poly [ADP-ribose] polymerase 11 isoform a"	"NM_020367"	"NP_065100"
"COMMD10"	"COMM domain-containing protein 10 isoform a"	"NM_016144"	"NP_057228"
"TUBB2B"	"tubulin beta-2B chain"	"NM_178012"	"NP_821080"
"TUBGCP6"	"gamma-tubulin complex component 6"	"NM_020461"	"NP_065194"
"TUBGCP2"	"gamma-tubulin complex component 2 isoform 2"	"NM_006659"	"NP_006650"
"AP1M2"	"AP-1 complex subunit mu-2 isoform 1"	"NM_001300887"	"NP_001287816"
"APOH"	"beta-2-glycoprotein 1 precursor"	"NM_000042"	"NP_000033"
"AP2S1"	"AP-2 complex subunit sigma isoform AP17delta"	"NM_021575"	"NP_067586"
"AOC2"	"retina-specific copper amine oxidase isoform b precursor"	"NM_009590"	"NP_033720"
"AP1B1"	"AP-1 complex subunit beta-1 isoform a"	"NM_001127"	"NP_001118"
"AP1G2"	"AP-1 complex subunit gamma-like 2 isoform 2"	"NM_001282474"	"NP_001269403"
"TUBB3"	"tubulin beta-3 chain isoform 2"	"NM_001197181"	"NP_001184110"
"TUBGCP5"	"gamma-tubulin complex component 5 isoform b"	"NM_001102610"	"NP_001096080"
"NAPB"	"beta-soluble NSF attachment protein isoform c"	"NM_001283020"	"NP_001269949"
"ARL13A"	"ADP-ribosylation factor-like protein 13A"	"NM_001162491"	"NP_001155963"
"TUBGCP3"	"gamma-tubulin complex component 3 isoform 3"	"NM_001286278"	"NP_001273207"
"AP1G2"	"AP-1 complex subunit gamma-like 2 isoform 1"	"NM_003917"	"NP_003908"
"TUBGCP4"	"gamma-tubulin complex component 4 isoform a"	"NM_001286414"	"NP_001273343"
"PARP11"	"poly [ADP-ribose] polymerase 11 isoform b"	"NM_001286522"	"NP_001273451"
"TUBGCP3"	"gamma-tubulin complex component 3 isoform 2"	"NM_001286277"	"NP_001273206"
"AP1M1"	"AP-1 complex subunit mu-1 isoform 2"	"NM_032493"	"NP_115882"
"TUBD1"	"tubulin delta chain isoform 3"	"NM_001193610"	"NP_001180539"
"TUBGCP3"	"gamma-tubulin complex component 3 isoform 4"	"NM_001286279"	"NP_001273208"
"AP2S1"	"AP-2 complex subunit sigma isoform AP17"	"NM_004069"	"NP_004060"
"AP2S1"	"AP-2 complex subunit sigma isoform 4"	"NM_001301078"	"NP_001288007"
"TUBB6"	"tubulin beta-6 chain isoform 6"	"NM_001303530"	"NP_001290459"
"ARL14EPL"	"ARL14 effector protein-like"	"NM_001195581"	"NP_001182510"
"TUBD1"	"tubulin delta chain isoform 6"	"NM_001193613"	"NP_001180542"
"AP1M1"	"AP-1 complex subunit mu-1 isoform 1"	"NM_001130524"	"NP_001123996"
"PARP11"	"poly [ADP-ribose] polymerase 11 isoform b"	"NM_001286521"	"NP_001273450"
"PROCR"	"endothelial protein C receptor precursor"	"NM_006404"	"NP_006395"
"TUBB2A"	"tubulin beta-2A chain isoform 2"	"NM_001310315"	"NP_001297244"
"AAAS"	"aladin isoform 2"	"NM_001173466"	"NP_001166937"
"TUBE1"	"tubulin epsilon chain"	"NM_016262"	"NP_057346"
"KIAA0368"	"proteasome-associated protein ECM29 homolog"	"NM_001080398"	"NP_001073867"
"AOC2"	"retina-specific copper amine oxidase isoform a precursor"	"NM_001158"	"NP_001149"
"TUBG1"	"tubulin gamma-1 chain"	"NM_001070"	"NP_001061"
"TUBB6"	"tubulin beta-6 chain isoform 3"	"NM_001303526"	"NP_001290455"
"AP2S1"	"AP-2 complex subunit sigma isoform 5"	"NM_001301081"	"NP_001288010"
"CCKBR"	"gastrin/cholecystokinin type B receptor isoform 2"	"NM_001318029"	"NP_001304958"
"SNCB"	"beta-synuclein isoform 3"	"NM_001318035"	"NP_001304964"
"SNCB"	"beta-synuclein isoform 3"	"NM_001318037"	"NP_001304966"
"ARL13A"	""	"NR_103708"	""
"TUBGCP2"	""	"NR_046330"	""
"ARL13A"	""	"NR_103709"	""
"PARP11"	""	"NR_104461"	""
"AP1S3"	""	"NR_110906"	""
"TUBBP5"	""	"NR_027156"	""
"TUBA3FP"	""	"NR_003608"	""
"AP1B1P1"	""	"NR_040114"	""
"TUBA4B"	""	"NR_003063"	""
"LYZL4"	"lysozyme-like protein 4 precursor"	"NM_144634"	"NP_653235"
"LMOD3"	"leiomodin-3"	"NM_198271"	"NP_938012"
"LMOD2"	"leiomodin-2"	"NM_207163"	"NP_997046"
"LYZL4"	"lysozyme-like protein 4 precursor"	"NM_001304386"	"NP_001291315"
"ZNF618"	"zinc finger protein 618 isoform 1"	"NM_133374"	"NP_588615"
"TAS2R39"	"taste receptor type 2 member 39"	"NM_176881"	"NP_795362"
"MTRR"	"methionine synthase reductase isoform 2"	"NM_024010"	"NP_076915"
"DBF4"	"protein DBF4 homolog A isoform 1"	"NM_006716"	"NP_006707"
"LAMB4"	"laminin subunit beta-4 isoform 1 precursor"	"NM_007356"	"NP_031382"
"RGAG1"	"retrotransposon gag domain-containing protein 1"	"NM_020769"	"NP_065820"
"IL7R"	"interleukin-7 receptor subunit alpha precursor"	"NM_002185"	"NP_002176"
"MTRR"	"methionine synthase reductase isoform 1"	"NM_002454"	"NP_002445"
"CAMSAP1"	"calmodulin-regulated spectrin-associated protein 1"	"NM_015447"	"NP_056262"
"HINT1"	"histidine triad nucleotide-binding protein 1"	"NM_005340"	"NP_005331"
"LMNB1"	"lamin-B1 isoform 2"	"NM_001198557"	"NP_001185486"
"LMNB1"	"lamin-B1 isoform 1"	"NM_005573"	"NP_005564"
"IL7R"	""	"NR_120485"	""
"LOC101929352"	""	"NR_134478"	""
"LOC101929165"	""	"NR_134476"	""
"GHRHR"	"growth hormone-releasing hormone receptor precursor"	"NM_000823"	"NP_000814"
"GLRA1"	"glycine receptor subunit alpha-1 isoform 3"	"NM_001292000"	"NP_001278929"
"TAOK3"	"serine/threonine-protein kinase TAO3"	"NM_016281"	"NP_057365"
"GLRA1"	"glycine receptor subunit alpha-1 isoform 2 precursor"	"NM_000171"	"NP_000162"
"C9orf69"	"protein C9orf69"	"NM_152833"	"NP_690046"
"HBP1"	"HMG box-containing protein 1 isoform 1"	"NM_001244262"	"NP_001231191"
"HBP1"	"HMG box-containing protein 1 isoform 2"	"NM_012257"	"NP_036389"
"A4GNT"	"alpha-1,4-N-acetylglucosaminyltransferase"	"NM_016161"	"NP_057245"
"C9orf69"	"protein C9orf69"	"NM_001256526"	"NP_001243455"
"CDC25C"	"M-phase inducer phosphatase 3 isoform b"	"NM_022809"	"NP_073720"
"LOC105378311"	""	"NR_134503"	""
"MAPK10"	"mitogen-activated protein kinase 10 isoform 5"	"NM_001318067"	"NP_001304996"
"MAPK10"	"mitogen-activated protein kinase 10 isoform 6"	"NM_001318068"	"NP_001304997"
"NOL8"	"nucleolar protein 8 isoform a"	"NM_017948"	"NP_060418"
"TEX101"	"testis-expressed sequence 101 protein isoform 2 precursor"	"NM_001130011"	"NP_001123483"
"CPSF3L"	"integrator complex subunit 11 isoform 5"	"NM_001256463"	"NP_001243392"
"GRAMD3"	"GRAM domain-containing protein 3 isoform 2"	"NM_023927"	"NP_076416"
"CAPN9"	"calpain-9 isoform 1"	"NM_006615"	"NP_006606"
"KRTAP8-1"	"keratin-associated protein 8-1"	"NM_175857"	"NP_787053"
"C22orf23"	"UPF0193 protein EVG1 isoform 1"	"NM_032561"	"NP_115950"
"LYAR"	"cell growth-regulating nucleolar protein"	"NM_001145725"	"NP_001139197"
"ZNF655"	"zinc finger protein 655 isoform f"	"NM_001085368"	"NP_001078837"
"ANKRD26"	"ankyrin repeat domain-containing protein 26 isoform 1"	"NM_014915"	"NP_055730"
"REPIN1"	"replication initiator 1 isoform 1"	"NM_013400"	"NP_037532"
"ASPHD1"	"aspartate beta-hydroxylase domain-containing protein 1"	"NM_181718"	"NP_859069"
"PLSCR3"	"phospholipid scramblase 3"	"NM_001201576"	"NP_001188505"
"C6orf118"	"uncharacterized protein C6orf118"	"NM_144980"	"NP_659417"
"MYO19"	"unconventional myosin-XIX isoform 3"	"NM_001033580"	"NP_001028752"
"IPO11"	"importin-11 isoform 2"	"NM_016338"	"NP_057422"
"SCPEP1"	"retinoid-inducible serine carboxypeptidase precursor"	"NM_021626"	"NP_067639"
"C1orf106"	"uncharacterized protein C1orf106 isoform 2"	"NM_001142569"	"NP_001136041"
"COMTD1"	"catechol O-methyltransferase domain-containing protein 1"	"NM_144589"	"NP_653190"
"ZNF215"	"zinc finger protein 215"	"NM_013250"	"NP_037382"
"RAP1GAP2"	"rap1 GTPase-activating protein 2 isoform 1"	"NM_015085"	"NP_055900"
"ZNF821"	"zinc finger protein 821 isoform 2"	"NM_017530"	"NP_060000"
"PSMC3IP"	"homologous-pairing protein 2 homolog isoform 2"	"NM_016556"	"NP_057640"
"CDC42SE2"	"CDC42 small effector protein 2"	"NM_020240"	"NP_064625"
"SH3D19"	"SH3 domain-containing protein 19 isoform 2"	"NM_001243349"	"NP_001230278"
"THYN1"	"thymocyte nuclear protein 1 isoform 1"	"NM_199298"	"NP_954995"
"RALYL"	"RNA-binding Raly-like protein isoform 2"	"NM_001100393"	"NP_001093863"
"FBXO24"	"F-box only protein 24 isoform 1"	"NM_033506"	"NP_277041"
"KIAA0430"	"meiosis arrest female protein 1 isoform 1"	"NM_014647"	"NP_055462"
"FRMD8"	"FERM domain-containing protein 8 isoform 1"	"NM_031904"	"NP_114110"
"DEPDC5"	"DEP domain-containing protein 5 isoform 5"	"NM_001242897"	"NP_001229826"
"KIAA0391"	"mitochondrial ribonuclease P protein 3 isoform 3"	"NM_001256679"	"NP_001243608"
"TRIP13"	"pachytene checkpoint protein 2 homolog isoform 1"	"NM_004237"	"NP_004228"
"ANKHD1"	"ankyrin repeat and KH domain-containing protein 1 isoform 3"	"NM_024668"	"NP_078944"
"TRAPPC13"	"trafficking protein particle complex subunit 13 isoform 2"	"NM_024941"	"NP_079217"
"C4B_2"	"complement C4-B-like preproprotein"	"NM_001242823"	"NP_001229752"
"KIAA1429"	"protein virilizer homolog isoform 2"	"NM_183009"	"NP_892121"
"GPR141"	"probable G-protein coupled receptor 141"	"NM_181791"	"NP_861456"
"SUMF2"	"sulfatase-modifying factor 2 isoform e precursor"	"NM_001130069"	"NP_001123541"
"GTPBP3"	"tRNA modification GTPase GTPBP3, mitochondrial isoform V"	"NM_032620"	"NP_116009"
"LRRCC1"	"leucine-rich repeat and coiled-coil domain-containing protein 1"	"NM_033402"	"NP_208325"
"MFSD5"	"molybdate-anion transporter isoform 1"	"NM_001170790"	"NP_001164261"
"GPRASP2"	"G-protein coupled receptor-associated sorting protein 2"	"NM_001004051"	"NP_001004051"
"ZNF219"	"zinc finger protein 219"	"NM_001102454"	"NP_001095924"
"TMEM147"	"transmembrane protein 147 isoform 1"	"NM_032635"	"NP_116024"
"C4orf47"	"UPF0602 protein C4orf47"	"NM_001114357"	"NP_001107829"
"TBKBP1"	"TANK-binding kinase 1-binding protein 1"	"NM_014726"	"NP_055541"
"PGAM4"	"phosphoglycerate mutase 4"	"NM_001029891"	"NP_001025062"
"GIMAP2"	"GTPase IMAP family member 2"	"NM_015660"	"NP_056475"
"NIFK"	"MKI67 FHA domain-interacting nucleolar phosphoprotein"	"NM_032390"	"NP_115766"
"USP47"	"ubiquitin carboxyl-terminal hydrolase 47 isoform b"	"NM_017944"	"NP_060414"
"ZBTB49"	"zinc finger and BTB domain-containing protein 49"	"NM_145291"	"NP_660334"
"ZNF644"	"zinc finger protein 644 isoform 2"	"NM_032186"	"NP_115562"
"IQCF2"	"IQ domain-containing protein F2"	"NM_203424"	"NP_982248"
"C11orf68"	"UPF0696 protein C11orf68 isoform 2"	"NM_031450"	"NP_113638"
"WDR20"	"WD repeat-containing protein 20 isoform 3"	"NM_181308"	"NP_851825"
"CCDC70"	"coiled-coil domain-containing protein 70 precursor"	"NM_031290"	"NP_112580"
"NABP2"	"SOSS complex subunit B1"	"NM_024068"	"NP_076973"
"MRPS35"	"28S ribosomal protein S35, mitochondrial isoform 1 precursor"	"NM_021821"	"NP_068593"
"FOXN2"	"forkhead box protein N2"	"NM_002158"	"NP_002149"
"ZNF85"	"zinc finger protein 85 isoform c"	"NM_001256171"	"NP_001243100"
"MEX3A"	"RNA-binding protein MEX3A"	"NM_001093725"	"NP_001087194"
"DSCC1"	"sister chromatid cohesion protein DCC1"	"NM_024094"	"NP_076999"
"EDRF1"	"erythroid differentiation-related factor 1 isoform 2"	"NM_015608"	"NP_056423"
"SH2D3C"	"SH2 domain-containing protein 3C isoform d"	"NM_001142533"	"NP_001136005"
"ATPAF2"	"ATP synthase mitochondrial F1 complex assembly factor 2"	"NM_145691"	"NP_663729"
"OCIAD1"	"OCIA domain-containing protein 1 isoform 1"	"NM_017830"	"NP_060300"
"PGBD1"	"piggyBac transposable element-derived protein 1"	"NM_032507"	"NP_115896"
"USP45"	"ubiquitin carboxyl-terminal hydrolase 45"	"NM_001080481"	"NP_001073950"
"CNKSR2"	"connector enhancer of kinase suppressor of ras 2 isoform 4"	"NM_001168649"	"NP_001162120"
"FBXO44"	"F-box only protein 44 isoform 2"	"NM_183412"	"NP_904319"
"PLSCR3"	"phospholipid scramblase 3"	"NM_020360"	"NP_065093"
"IFT43"	"intraflagellar transport protein 43 homolog isoform 2"	"NM_001102564"	"NP_001096034"
"PGM5"	"phosphoglucomutase-like protein 5"	"NM_021965"	"NP_068800"
"HYI"	"putative hydroxypyruvate isomerase isoform 1"	"NM_031207"	"NP_112484"
"NDC1"	"nucleoporin NDC1 isoform 2"	"NM_001168551"	"NP_001162023"
"HHLA3"	"HERV-H LTR-associating protein 3 isoform 3"	"NM_001036646"	"NP_001031723"
"PNCK"	"calcium/calmodulin-dependent protein kinase type 1B isoform b"	"NM_001135740"	"NP_001129212"
"FETUB"	"fetuin-B isoform 1 precursor"	"NM_014375"	"NP_055190"
"NXNL1"	"nucleoredoxin-like protein 1"	"NM_138454"	"NP_612463"
"GRAMD1C"	"GRAM domain-containing protein 1C isoform 2"	"NM_001172105"	"NP_001165576"
"TMEM206"	"transmembrane protein 206 isoform 1"	"NM_001198862"	"NP_001185791"
"PHYHD1"	"phytanoyl-CoA dioxygenase domain-containing protein 1 isoform a"	"NM_001100876"	"NP_001094346"
"HS2ST1"	"heparan sulfate 2-O-sulfotransferase 1 isoform 2"	"NM_001134492"	"NP_001127964"
"WBP1"	"WW domain-binding protein 1"	"NM_012477"	"NP_036609"
"GBAS"	"protein NipSnap homolog 2 isoform 1"	"NM_001483"	"NP_001474"
"FOXJ2"	"forkhead box protein J2"	"NM_018416"	"NP_060886"
"TRAFD1"	"TRAF-type zinc finger domain-containing protein 1"	"NM_001143906"	"NP_001137378"
"SAMD4A"	"protein Smaug homolog 1 isoform 1"	"NM_015589"	"NP_056404"
"PRKRIP1"	"PRKR-interacting protein 1"	"NM_024653"	"NP_078929"
"SNX15"	"sorting nexin-15 isoform A"	"NM_013306"	"NP_037438"
"WDR33"	"pre-mRNA 3' end processing protein WDR33 isoform 1"	"NM_018383"	"NP_060853"
"MRPL22"	"39S ribosomal protein L22, mitochondrial isoform a"	"NM_014180"	"NP_054899"
"SCIN"	"adseverin isoform 2"	"NM_033128"	"NP_149119"
"SNX16"	"sorting nexin-16 isoform a"	"NM_022133"	"NP_071416"
"GPRASP2"	"G-protein coupled receptor-associated sorting protein 2"	"NM_001184874"	"NP_001171803"
"ZNF768"	"zinc finger protein 768"	"NM_024671"	"NP_078947"
"CCDC114"	"coiled-coil domain-containing protein 114"	"NM_144577"	"NP_653178"
"WDR20"	"WD repeat-containing protein 20 isoform 8"	"NM_001242418"	"NP_001229347"
"SUMF2"	"sulfatase-modifying factor 2 isoform b precursor"	"NM_015411"	"NP_056226"
"FBLN7"	"fibulin-7 isoform 1 precursor"	"NM_153214"	"NP_694946"
